,ITI (seconds), left fractal (win = 1; loss = 0),right fractal (win = 1; loss = 0),left fractal (probability of win),right fractal (probability of win),,,left frac prob,right frac prob,
1,3000,0.00,0.00,0.80,0.29,,,1.00,0.00,
1,3376,1.00,0.00,0.80,0.29,,,0.00,0.00,
1,12809,1.00,0.00,0.80,0.29,,,0.00,0.00,
1,3885,1.00,0.00,0.80,0.29,,,1.00,0.00,
1,3073,1.00,1.00,0.80,0.29,,,0.00,1.00,
1,12911,1.00,0.00,0.80,0.29,,,0.00,0.00,
1,3354,1.00,1.00,0.80,0.29,,,0.00,1.00,
1,12955,1.00,0.00,0.80,0.777777778,,,0.00,0.00,
1,3633,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3561,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3125,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3558,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,12625,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3567,0.00,0.00,0.80,0.78,,,1.00,0.00,
1,3920,0.00,1.00,0.80,0.78,,,1.00,1.00,
1,3617,0.00,1.00,0.80,0.78,,,1.00,1.00,
1,3162,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3314,1.00,0.00,0.80,0.78,,,0.00,0.00,
1,3449,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,12257,1.00,0.00,0.80,0.78,,,0.00,0.00,
1,3746,1.00,1.00,0.230769231,0.78,,,0.00,1.00,
1,3011,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,3096,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,3328,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,12633,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,3477,0.00,1.00,0.23,0.210526316,,,1.00,1.00,
1,3462,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3721,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3254,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3820,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,12991,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,12368,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3184,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3165,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3305,1.00,0.00,0.23,0.21,,,0.00,0.00,
1,3670,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3468,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3552,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3302,1.00,0.00,0.23,0.21,,,0.00,0.00,
1,3034,0.00,1.00,0.23,0.21,,,1.00,1.00,
1,3317,1.00,0.00,0.23,0.21,,,0.00,0.00,
1,3745,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3961,1.00,1.00,0.23,0.21,,,0.00,1.00,
1,3772,0.00,1.00,0.23,0.21,,,1.00,1.00,
1,3535,0.00,1.00,0.23,0.833333333,,,1.00,1.00,
1,12725,1.00,1.00,0.23,0.83,,,0.00,1.00,
1,3766,1.00,1.00,0.8,0.83,,,0.00,1.00,
1,3913,1.00,0.00,0.8,0.83,,,0.00,0.00,
1,3876,0.00,1.00,0.8,0.83,,,1.00,1.00,
1,3319,1.00,0.00,0.8,0.83,,,0.00,0.00,
1,3166,1.00,1.00,0.8,0.83,,,0.00,1.00,
1,3716,1.00,1.00,0.8,0.83,,,0.00,1.00,
1,3966,0.00,1.00,0.8,0.83,,,1.00,1.00,
1,3183,1.00,1.00,0.8,0.83,,,0.00,1.00,
1,3908,1.00,1.00,0.8,0.83,,,0.00,1.00,
1,3647,1.00,1.00,0.8,0.83,,,0.00,1.00,
2,3280,0.00,0.00,0.517857143,0.285714286,,,0.00,1.00,
2,3034,1.00,0.00,0.51,0.28,,,1.00,1.00,
2,3031,0.00,0.00,0.51,0.28,,,0.00,1.00,
2,3574,1.00,1.00,0.51,0.28,,,1.00,0.00,
2,3351,1.00,0.00,0.51,0.28,,,1.00,1.00,
2,3995,0.00,1.00,0.51,0.28,,,0.00,0.00,
2,3343,1.00,0.00,0.51,0.28,,,1.00,1.00,
2,3282,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3746,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3465,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3865,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3284,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3265,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3852,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3297,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3419,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,12053,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3548,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3629,0.00,0.00,0.51,0.83,,,0.00,1.00,
2,3686,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3970,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3789,0.00,0.00,0.51,0.83,,,0.00,1.00,
2,12113,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3389,0.00,0.00,0.51,0.83,,,0.00,1.00,
2,3348,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3323,0.00,0.00,0.51,0.210526316,,,0.00,1.00,
2,12004,0.00,1.00,0.51,0.21,,,0.00,0.00,
2,3734,1.00,1.00,0.51,0.21,,,1.00,0.00,
2,3834,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,12612,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,3123,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,3795,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,3074,0.00,0.00,0.51,0.21,,,0.00,1.00,
2,4000,0.00,0.00,0.51,0.21,,,0.00,1.00,
2,3956,0.00,1.00,0.51,0.21,,,0.00,0.00,
2,3757,1.00,1.00,0.51,0.21,,,1.00,0.00,
2,3926,0.00,0.00,0.51,0.21,,,0.00,1.00,
2,3099,0.00,0.00,0.51,0.21,,,0.00,1.00,
2,3255,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,3376,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,3090,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,3434,0.00,0.00,0.51,0.21,,,0.00,1.00,
2,3072,0.00,0.00,0.51,0.21,,,0.00,1.00,
2,3702,1.00,0.00,0.51,0.21,,,1.00,1.00,
2,12018,0.00,1.00,0.51,0.833333333,,,0.00,0.00,
2,3688,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3683,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3146,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3426,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3602,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3158,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3152,1.00,1.00,0.51,0.83,,,1.00,0.00,
2,3075,1.00,0.00,0.51,0.83,,,1.00,1.00,
2,3274,0.00,1.00,0.51,0.83,,,0.00,0.00,
2,3583,0.00,0.00,0.51,0.83,,,0.00,1.00,
2,3710,0.00,1.00,0.51,0.83,,,0.00,0.00,
3,3964,1.00,0.00,0.8,0.517857143,,,1.00,0.00,
3,3420,1.00,1.00,0.8,0.51,,,1.00,1.00,
3,12393,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,3092,1.00,1.00,0.8,0.51,,,1.00,1.00,
3,3829,0.00,1.00,0.8,0.51,,,0.00,1.00,
3,3052,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,12996,0.00,1.00,0.8,0.51,,,0.00,1.00,
3,12561,1.00,1.00,0.8,0.51,,,1.00,1.00,
3,3560,1.00,1.00,0.8,0.51,,,1.00,1.00,
3,3548,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,3398,1.00,1.00,0.8,0.51,,,1.00,1.00,
3,3457,1.00,1.00,0.8,0.51,,,1.00,1.00,
3,3331,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,3424,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,3570,0.00,0.00,0.8,0.51,,,0.00,0.00,
3,3198,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,3799,1.00,1.00,0.8,0.51,,,1.00,1.00,
3,3707,0.00,1.00,0.8,0.51,,,0.00,1.00,
3,3428,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,3261,1.00,0.00,0.8,0.51,,,1.00,0.00,
3,3981,0.00,1.00,0.210526316,0.51,,,0.00,1.00,
3,3070,0.00,0.00,0.21,0.51,,,0.00,0.00,
3,3282,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3955,1.00,0.00,0.21,0.51,,,1.00,0.00,
3,3157,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3916,1.00,0.00,0.21,0.51,,,1.00,0.00,
3,3659,0.00,0.00,0.21,0.51,,,0.00,0.00,
3,3333,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3588,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3864,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3065,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3633,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,12844,0.00,0.00,0.21,0.51,,,0.00,0.00,
3,3045,1.00,0.00,0.21,0.51,,,1.00,0.00,
3,3814,0.00,0.00,0.21,0.51,,,0.00,0.00,
3,3517,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3294,0.00,0.00,0.21,0.51,,,0.00,0.00,
3,12983,1.00,0.00,0.21,0.51,,,1.00,0.00,
3,12282,0.00,1.00,0.21,0.51,,,0.00,1.00,
3,3535,1.00,1.00,0.875,0.51,,,1.00,1.00,
3,3092,1.00,1.00,0.87,0.51,,,1.00,1.00,
3,3536,1.00,0.00,0.87,0.51,,,1.00,0.00,
3,3584,1.00,0.00,0.87,0.51,,,1.00,0.00,
3,3252,0.00,1.00,0.87,0.51,,,0.00,1.00,
3,3299,1.00,0.00,0.87,0.51,,,1.00,0.00,
3,3295,1.00,1.00,0.87,0.51,,,1.00,1.00,
3,3933,1.00,1.00,0.87,0.51,,,1.00,1.00,
3,12502,0.00,0.00,0.222222222,0.51,,,0.00,0.00,
3,3000,0.00,1.00,0.22,0.51,,,0.00,1.00,
3,3376,0.00,0.00,0.22,0.51,,,0.00,0.00,
3,12809,0.00,1.00,0.22,0.51,,,0.00,1.00,
3,3885,1.00,1.00,0.22,0.51,,,1.00,1.00,
3,3073,0.00,1.00,0.22,0.51,,,0.00,1.00,
3,12911,1.00,0.00,0.22,0.51,,,1.00,0.00,
3,3354,0.00,0.00,0.22,0.51,,,0.00,0.00,
3,12955,0.00,0.00,0.22,0.51,,,0.00,0.00,
